idx    label   sentence1   sentence2
1	None	A gente faz o aporte financeiro, é como se a empresa fosse parceira do Monte Cristo.	Fernando Moraes afirma que não tem vínculo com o Monte Cristo além da parceira.
2	None	Em 2013, a história de como Walt Disney convenceu P.L.	P.L.Travers era completamente contra a adaptação de Walt Disney.
3	None	David Silva bateu escanteio, Kompany escalou as costas de Chiellini e o zagueiro marcou contra.	David Silva cobrou escanteio, o zagueiro se apoiou em Chiellini e cabeceou.
4	None	Para os ambientalistas, as metas anunciadas pela presidente Dilma foram um avanço.	Dilma aproveitou seu discurso ontem, na Conferência de Desenvolvimento Sustentável pós-2015 para anunciar desde já essas metas.
5	None	De acordo com a PM, por volta das 10h30 havia 2 mil militantes no local.	O protesto encerrou por volta de 12h15 (horário local).
6	None	A programação entra em cartaz nesta quinta-feira (24) e segue até a próxima quarta-feira (30).	A animação “Hotel Transilvânia 2” entra em cartaz nos cinemas da Paraíba nesta quinta-feira (24).
7	None	Claudia Leitte, porém, ainda não escolheu o ajudante.	Somente Claudia Leitte não concordou plenamente com o colega.
8	None	As informações são da Superintendência de Trânsito e Transporte de Salvador (Transalvador).	Ainda segundo a Transalvador, não há informações sobre o estado de saúde dela.
9	None	Os sintomas da zika vírus, dengue e febre chikungunyia, são parecidos.	Foram registrados 316 casos suspeitos de Febre Chikungunya.
10	Paraphrase	Tenho orgulho de ter feito parte da construção do PSOL.	Ajudei a construir o PSOL, e disso muito me orgulho.
11	Entailment	O caminho de ajuste via aumento de carga tributária é muito mal visto pela sociedade e pelo Congresso.	O aumento da carga tributária também não é visto com bons olhos pelo congresso.
12	None	O técnico René Simões deixou o comando técnico do Figueirense após a derrota na noite desta última quarta-feira.	A derrota para o Avaí no clássico do Estádio Orlando Scarpelli derrubou René Simões no comando técnico do Figueirense.
13	Entailment	Randolfe tem uma reunião com Marina Silva na tarde desta segunda (28), em Brasília.	Nesta segunda-feira, 28, Randolfe Rodrigues se reúne com Marina Silva.
14	None	Em abril, a Lenovo já tinha encerrado a fabricação de TVs da marca CCE.	A fabricante chinesa Lenovo não é mais dona da brasileira CCE.
15	None	A jurisdição especial contará com salas de justiça e um tribunal para a paz.	Acertamos uma jurisdição especial para a paz.
16	None	O filme chega aos cinemas brasileiros no dia 17 de março de 2016.	Filme está marcado para 2016, com a segunda parte no ano seguinte.
17	None	Nós representamos mais de 100 mil servidores.	As duas fundações empregam pouco mais de 330 servidores.
18	None	Os profissionais selecionados preencherão vagas ociosas, principalmente por desistência.	Neste novo edital de reposição, 323 municípios poderão preencher 410 vagas ociosas.
19	None	Após rápido contra-ataque, Anderson Lopes recebeu e bateu para fora.	O segundo gol quase veio aos 36 minutos, mas Anderson Lopes por cima do gol.
20	Entailment	A principal novidade são os retornos do volante Thiago Maia e do lateral-direito Victor Ferraz, na equipe titular.	Além disso, o time terá os retornos de Victor Ferraz e Thiago Maia.
21	None	Rebeldes das Farc libertam 359 policiais e soldados em troca de 14 rebeldes capturados.	Governo liberta dezenas de guerrilheiros das Farc na esperança de que os rebeldes libertem reféns.
22	None	Esta barreira terá quatro metros de altura e protegerá 175 quilómetros da fronteira entre a Hungria e a Sérvia.	Este ano já entraram na Hungria vindos da Sérvia 140 mil migrantes.
23	None	Eduardo Cunha processou Gomes sob a justificativa de que as acusações mancharam sua honra e reputação.	"O presidente da Câmara alegou na Justiça que as declarações ""mancharam sua honra e reputação""."
24	None	A noite tinha tudo para ser de festa para o Botafogo no Estádio Nilton Santos.	O Botafogo precisa saber jogar dentro do Nilton Santos.
25	None	Depois de um período difícil, a Ponte Preta ganhou certa tranquilidade no Campeonato Brasileiro.	Ponte Preta e Flamengo jogaram pela 17ª rodada do Campeonato Brasileiro 2015.
